idtaxi;endereco;telefone;longitude;latitude
12019;R VASCO DA GAMA 15;0;-51,2123;-30,0318
12020;R FERNANDES VIEIRA 261;0;-51,211;-30,0317
12021;R GAL JOAO TELLES 10;0;-51,2119;-30,0297
12022;R CASEMIRO DE ABREU 38;0;-51,2084;-30,0311
12023;R FREDERICO LINCK 25;0;-51,2084;-30,0297
12024;AV RAMIRO BARCELOS 1101;0;-51,2084;-30,0293
12025;AV CRISTOVAO COLOMBO 545;0;-51,2121;-30,0257
12026;AV RAMIRO BARCELOS 919;0;-51,2092;-30,027
12027;R TIRADENTES 333;0;-51,2092;-30,0255
12028;AV FARRAPOS 1298;0;-51,2103;-30,0196
12029;R CANCIO GOMES 372;0;-51,209;-30,0173
12030;R MARIANTE 180;0;-51,2043;-30,0289
12031;PCA JULIO DE CASTILHOS 19;0;-51,2076;-30,0286
12032;R FERNANDO GOMES 100;0;-51,2054;-30,0265
12033;R MARIANTE 399;0;-51,2042;-30,0321
12034;R DR FLORENCIO YGARTUA 391;0;-51,2031;-30,0289
12035;R VINTE QUATRO DE OUTUBRO 474;0;-51,2032;-30,0265
12036;R PADRE CHAGAS 242;0;-51,2032;-30,025
12037;AV GOETHE S/N;0;-51,2002;-30,0285
12038;R VINTE QUATRO DE OUTUBRO 722;0;-51,2009;-30,0247
12039;R SANTO INACIO 96;0;-51,2064;-30,0246
12040;R HOFFMANN 710;0;-51,2078;-30,0214
12041;R FELIX DA CUNHA 1099;0;-51,2019;-30,0237
12042;R FELIX DA CUNHA 901;0;-51,202;-30,021
12043;R FELIX DA CUNHA 561;0;-51,2024;-30,0183
12044;R VEADOR PORTO 795;0;-51,1969;-30,0488
12045;R SANTA CECILIA 1143;0;-51,1986;-30,0449
12046;R PROFESSOR ALVARO ALVIM 436;0;-51,1981;-30,0374
12047;R CABRAL 1009;0;-51,1986;-30,0348
12048;R CEL BORDINI 1270;0;-51,196;-30,0332
12049;AV NEUSA GOULART BRIZOLA 2629;0;-51,1958;-30,039
12050;AV PROTASIO ALVES 1578;0;-51,1923;-30,0409
12051;R FARIA SANTOS 589;0;-51,1911;-30,048
12052;R PROFESSOR LAGENDOCK 37;0;-51,1891;-30,0433
12053;R JOAO ABBOTT 12;0;-51,1897;-30,0429
12054;R AMELIA TELLES 392;0;-51,1908;-30,0387
12055;AV LAJEADO 507;0;-51,184;-30,0394
12056;R NILOPOLIS 540;0;-51,186;-30,036
12057;R SIOMA BREITMAN 495;0;-51,1851;-30,0347
12058;R CEL LUCAS DE OLIVEIRA 995;0;-51,1944;-30,0314
12059;R CEL LUCAS DE OLIVEIRA 845;0;-51,1944;-30,03
12060;R TITO LIVIO ZAMBECARI 167;0;-51,1944;-30,0287
12061;R VINTE E QUATRO DE OUTUBRO 946;0;-51,1994;-30,0237
12062;R MARQUES DO HERVAL 540;0;-51,1988;-30,0213
12063;R CEL BORDINI 643;0;-51,1968;-30,0233
12064;R CEL BORDINI 509;0;-51,1968;-30,0229
12065;R QUINTINO BOCAIUVA 136;0;-51,1981;-30,019
12066;R VINTE QUATRO DE OUTUBRO 1427;0;-51,1942;-30,0222
12067;AV MARILAND 815;0;-51,1939;-30,0221
12068;AV MARILAND 431;0;-51,1943;-30,0185
12069;R SILVA JARDIM 581;0;-51,1899;-30,0272
12070;R TEN CEL FABRICIO PILLAR 800;0;-51,1885;-30,0254
12071;R VINTE E QUATRO DE OUTUBRO 1728;0;-51,1912;-30,0218
12072;R AUXILIADORA 268;0;-51,191;-30,0219
12073;R FELICISSIMO DE AZEVEDO 1020;0;-51,1886;-30,0178
12074;R FELICISSIMO DE AZEVEDO 900;0;-51,1887;-30,0176
12075;AV CRISTOVAO COLOMBO 3187;0;-51,1885;-30,0176
12076;R DOM PEDRO II 1551;0;-51,1863;-30,0206
12077;R DO PRESIDIO 476;0;-51,1828;-30,071
12078;R RAMALHETE 528;0;-51,1769;-30,0675
12079;R TENENTE ALPOIM 39;0;-51,1823;-30,0653
12080;R DONA FIRMINA 11;0;-51,171;-30,062
12081;R SANTA MARIA 27;0;-51,1676;-30,0621
12082;AV IPIRANGA 6690;0;-51,1736;-30,0547
12083;AV IPIRANGA 6681;0;-51,1725;-30,0566
12084;AV IPIRANGA 6000;0;-51,1733;-30,056
12085;R FLAVIO PAUL 10;0;-51,1704;-30,0528
12086;R PRIMEIRO DE SETEMBRO 10;0;-51,1645;-30,0624
12087;R ALBION 111;0;-51,1641;-30,0617
12088;AV CUBANOS 303;0;-51,1656;-30,059
12089;R SAO GUILHERME 6;0;-51,1614;-30,0629
12090;AV PROTASIO ALVES 2657;0;-51,1825;-30,0434
12091;R CAJU 23;0;-51,1821;-30,0435
12092;R SOLEDADE 555;0;-51,179;-30,0329
12093;R LUIS MANOEL GONZAGA 450;0;-51,1775;-30,0349
12094;R SAO SIMAO 49;0;-51,1692;-30,0412
12095;R ALFA 55;0;-51,1732;-30,0388
12096;R LUIZ VOELKER 281;0;-51,1713;-30,0369
12097;AV CARLOS GOMES 565;0;-51,1823;-30,0271
12098;AV PLINIO BRASIL MILANO 1000;0;-51,1804;-30,0206
12099;AV PLINIO BRASIL MILANO 1120;0;-51,1802;-30,0205
12100;R ANITA GARIBALDI 1985;0;-51,176;-30,0231
12101;AV FRANCISCO PETUCO 45;0;-51,1761;-30,019
12102;R LIBERO BADARO 420;0;-51,1712;-30,0214
12103;R PROFESSOR ABILIO AZAMBUJA 555;0;-51,1668;-30,0481
12104;AV TEIXEIRA MENDES 1309;0;-51,1659;-30,0288
12105;AV JOAO WALLIG 1800;0;-51,1616;-30,0263
12106;AV JOAO WALLIG 1800;0;-51,1616;-30,0263
12107;AV TULIO DE ROSE 80;0;-51,162;-30,0229
12108;R TULIO DE ROSE 10;0;-51,1611;-30,0228
12109;R CIPO 270;0;-51,1613;-30,0203
12110;AV FRANCISCO TREIN 557;0;-51,1594;-30,0166
12111;R ENG ARY DE ABREU LIMA 5;0;-51,1511;-30,0261
12112;R SAPE 525;0;-51,1589;-30,018
12113;R ENG WALTER BOEHL 285;0;-51,1539;-30,0224
12114;AV ANTONIO CARVALHO 44;0;-51,1505;-30,0656
12115;AV ANTONIO CARVALHO 450;0;-51,1499;-30,0635
12116;CEFER II RUA UM;0;-51,1471;-30,0537
12117;AV OTAVIO SANTOS 110;0;-51,1453;-30,0429
12118;R ARACY FROES 257;0;-51,1451;-30,0398
12119;R TEN ARY TARRAGO 340;0;-51,1358;-30,0393
12120;AV SATURNINO DE BRITO 1627;0;-51,1506;-30,0276
12121;AV BENNO MENTZ 1560;0;-51,1467;-30,0241
12122;R EUGENIO RODRIGUES 1558;0;-51,128;-30,0479
12123;R DR CECILIO MONZA 137;0;-51,1279;-30,0479
12124;AV ANTONIO GIUDICE 115;0;-51,1242;-30,0393
12125;R MANOEL ELIAS 2006;0;-51,1214;-30,0325
12126;R VOLUNTARIOS DA PATRIA 3223;0;-51,2085;-30,0063
12127;AV FARRAPOS 1962;0;-51,2055;-30,0149
12128;TRAV AZEVEDO 56;0;-51,205;-30,0155
12129;R MOURA AZEVEDO 517;0;-51,2044;-30,0115
12130;AV SAO PEDRO 550;0;-51,2038;-30,0101
12131;AV BAHIA 1020;0;-51,2003;-30,0114
12132;AV PATRIA 613;0;-51,2016;-30,0062
12133;R PRESIDENTE FRANKLIN ROOSEVELT 168;0;-51,2002;-30,0013
12134;AV FREDERICO MENTZ 1561;0;-51,2023;-29,996
12135;AV BERLIM 409;0;-51,1998;-30,0133
12136;R ERNESTO DA FONTOURA 1510;0;-51,1932;-30,0107
12137;R DR JOAO INACIO 750;0;-51,1989;-30,0022
12138;AV SERTORIO 615;0;-51,1989;-30,0001
12139;R DR JOAO INACIO 1366;0;-51,1925;-30,0034
12140;AV DOM PEDRO II 592;0;-51,1881;-30,0125
12141;R BARAO DE COTEGIPE 400;0;-51,1888;-30,0094
12142;R LUZITANA 22;0;-51,1842;-30,0085
12143;R AUGUSTO SEVERO 15;0;-51,189;-30,0072
12144;AV ASSIS BRASIL 200;0;-51,1858;-30,0074
12145;AV SERTORIO 473;0;-51,1999;-30
12146;R LAURO MULLER 560;0;-51,1974;-29,9971
12147;R PROF SARMENTO BARATA 297;0;-51,194;-29,9979
12148;R AUGUSTO SEVERO 801;0;-51,1877;-30
12149;AV A J RENNER 1603;0;-51,1924;-29,982
12150;AV PALMIRA GOBBI 990;0;-51,1891;-29,9781
12151;R GAL COUTO DE MAGALHAES 1868;0;-51,1831;-30,0147
12152;TRES DE ABRIL S/N;0;-51,1783;-30,0147
12153;R ARI MARINHO 297;0;-51,179;-30,0133
12154;R MARECHAL JOSE INACIO DA SILVA 17;0;-51,1787;-30,009
12155;AV PLINIO BRASIL MILANO 2175;0;-51,1718;-30,0162
12156;AV PLINIO BRASIL MILANO 2343;0;-51,1703;-30,0121
12157;AV ASSIS BRASIL 1802;0;-51,1699;-30,0119
12158;R SPORT CLUBE SAO JOSE 75;0;-51,1709;-30,0103
12159;R BEZERRA DE MENEZES 17;0;-51,1689;-30,0122
12160;AV SEVERO DULLIUS 90010;0;-51,1766;-29,9897
12161;AV SEVERO DULLIUS 1995;0;-51,1775;-29,9883
12162;AV DAS INDUSTRIAS 1344;0;-51,1708;-29,9878
12163;AV CARNEIRO DA FONTOURA 28;0;-51,1662;-30,0117
12164;AV ASSIS BRASIL 2201;0;-51,165;-30,0115
12165;AV GRECIA S/N;0;-51,1608;-30,0131
12166;AV ASSIS BRASIL 2611;0;-51,1612;-30,011
12167;R CARLOS SILVEIRA MARTINS PACHECO 114;0;-51,1593;-30,0112
12168;R DOMINGOS RUBBO 51;0;-51,1593;-30,0106
12169;AV FRANCISCO TREIN 596;0;-51,1591;-30,0162
12170;AV ASSIS BRASI 3145;0;-51,1558;-30,0106
12171;R JOAO ZANENGA 11;0;-51,1557;-30,0104
12172;AV PANAMERICANA 47;0;-51,1512;-30,0105
12173;AV PANAMERICANA 104;0;-51,1512;-30,0087
12174;AV FERNANDO FERRARI 1001;0;-51,1699;-29,9752
12175;AV ASSIS BRASIL 4320;0;-51,1458;-30,0097
12176;R GOMES DE FREITAS 72;0;-51,1431;-30,0106
